growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
0.54,2.9142,0.05001,0.542495479,0.912408759,0.912408759,30,-0.060790274,0.060313631,0.060386473,47.13833519,0.009913687,0.027,-0.037695863,0.150386203,0.022274691,0.164796009,0.057934846,-1,16.59,NAVI  ,12/29/2016 10:40,12/29/2016 10:49,16.505
0.53,2.3577,0.18573,0.691389063,1.208651399,0.95177665,37,-0.347771103,0.031436655,0.126023945,48.55227303,-0.002334185,0.032,-0.078966665,-0.028923408,-0.035639506,0.222826329,0.022287599,-1,31.82,CF    ,12/29/2016 10:49,12/29/2016 11:10,31.66
0.83,2.5705,0.32228,1.027703307,0.313760645,0,53,-0.193251078,0.044702727,0.045217064,31.36728572,-0.14902543,0.139,-0.078966665,0.655740231,-0.035639506,0.222826329,0.022287599,0,67.14,AKAM  ,12/29/2016 10:49,12/29/2016 15:59,67.05
0.83,3.634,0.37207,1.559633028,0.245248314,-0.456621005,38,0.152439024,0.030590395,0.12228011,34.19227318,0.00685021,0.059,-0.10785869,0.588361341,-0.084643828,0.271981452,0.015607929,-1,32.7,FSLR  ,12/29/2016 10:53,12/29/2016 11:07,32.5228
0.51,0.6654,0.30199,0.539772727,0.830707534,0.744132799,127,0.258249641,0.028417164,0.056931398,28.60286654,-0.00481763,0.036,-0.110948176,-0.642086052,-0.26284136,0.451134536,0.017869907,0,35.2,HRL   ,12/29/2016 12:12,12/29/2016 15:59,35.25
0.9,0.9548,0.45756,1.134751773,0.284495021,-0.821856952,157,0.014810427,0.089665994,0.007477195,29.94988649,-0.182383726,0.214,0.017024111,-0.3162971,-0.106918519,0.294340632,0.174231594,0,133.95,CXO   ,12/29/2016 12:58,12/29/2016 15:59,134.16
1.03,1.3546,0.56706,1.028767384,1.000577256,0.200439057,126,0.431365031,0.114438299,0.085910653,31.92133069,-0.095242149,0.144,-0.028249428,-0.582006479,-0.151467902,0.339088922,0.129556826,0,104.98,SLG   ,12/29/2016 13:03,12/29/2016 15:59,105.11
0.78,0.9244,0.43576,2.855200544,0.615595075,-1.07599193,140,-0.268276325,0.068027211,0.068119891,38.06662726,-0.023350681,0.032,0.010179947,0.773993858,-0.066824074,0.254101284,0.214438885,0,14.71,RIG   ,12/29/2016 14:52,12/29/2016 15:59,14.72
0.53,1.329,0.2807,1.848428835,0.825346113,-0.13185654,66,-0.105374078,0.026413101,0.02644803,36.66170814,-0.04425119,0.059,0.018948894,0.082676585,-0.062369136,0.249632238,0.218906362,0,37.87,NOV   ,12/29/2016 14:55,12/29/2016 15:59,37.84
0.56,9.7222,0.42845,1.599654129,1.804577465,1.402893468,9,0.307827617,0.043252595,0.086655113,49.96243536,-0.021988827,0.048,-0.063597788,-0.119654112,-0.467268924,0.520879907,0.031307304,-1,23.13,COG   ,12/30/2016 10:25,12/30/2016 10:34,23.01
0.54,1.6393,0.18496,1.08401084,0.476514636,-0.067704807,54,0.407885792,0.06779661,0,40.46656501,0.000590858,0.013,0.037540893,0.150076349,-0.38716568,0.440046462,0.116289471,1,14.76,RIG   ,12/30/2016 10:56,12/30/2016 11:26,14.859
0.55,1.764,0.19025,1.207464325,0.10989011,-0.870511425,51,0.108932462,0.10989011,0.001098901,37.17589325,-0.010103334,0.013,0.018393263,0.871139234,-0.38049041,0.433316209,0.122998479,-1,9.11,SPLS  ,12/30/2016 11:18,12/30/2016 12:43,9.06
0.52,1.963,0.21541,1.776384535,0.244413408,-0.173852573,44,-0.069492703,0.034843206,0,42.1772387,-0.018944935,0.021,0.061567874,0.84239812,-0.311512616,0.363823044,0.192324895,-1,28.71,URBN  ,12/30/2016 11:32,12/30/2016 12:19,28.55
1.05,2.9628,0.56748,1.079622132,0.884955752,0.338524035,59,0.407885792,0.067521945,0.101454177,25.74028805,-0.043661105,0.047,-0.025450178,0.253519481,-0.356014419,0.408646331,0.147598175,-1,14.82,RIG   ,12/30/2016 12:16,12/30/2016 12:31,14.735
0.56,1.0296,0.21273,1.18998769,0.143825765,-0.793812335,90,0.24484799,0.061588996,0.030819807,38.92170725,-0.040920355,0.049,0.004778507,0.456989404,-0.347114058,0.399678471,0.156543519,-1,48.74,GRMN  ,12/30/2016 12:22,12/30/2016 14:10,48.49
0.72,1.257,0.37103,0.744345835,1.012145749,0.546919977,95,0.433651344,0.028636884,0.028677947,32.28962784,-0.025534336,0.05,-0.056045565,-0.047395955,-0.431667483,0.484937874,0.071562752,-1,34.93,PWR   ,12/30/2016 12:36,12/30/2016 14:31,34.74
0.66,0.7338,0.31613,1.444303797,0.346767945,-0.934227851,149,-0.130245839,0.045590396,0.054541534,31.12598158,-0.725992214,0.907,-0.068637287,0.255436636,-0.458368564,0.511891989,0.04472672,0,790,AZO   ,12/30/2016 12:42,12/30/2016 15:59,789.78
